City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Lompoc,US,2021-06-01 23:07:09,34.6391,-120.4579,86.13,70,21,4.0
89,Meulaboh,ID,2021-06-01 23:07:38,4.1363,96.1285,77.9,88,100,5.21
90,Port Alfred,ZA,2021-06-01 23:07:38,-33.5906,26.891,59.36,86,72,9.86
91,Adwa,ET,2021-06-01 23:07:39,14.1646,38.8955,70.9,25,4,4.65
92,Port Macquarie,AU,2021-06-01 23:07:39,-31.4333,152.9167,53.38,58,100,3.8
93,Arman,RU,2021-06-01 23:07:40,59.7,150.1667,37.02,99,100,4.61
94,Kununurra,AU,2021-06-01 23:07:40,-15.7667,128.7333,71.58,83,75,1.14
95,Hithadhoo,MV,2021-06-01 23:07:41,-0.6,73.0833,83.44,66,100,15.95
96,Komsomolskiy,UZ,2021-06-01 23:07:41,40.4272,71.7189,76.42,39,61,2.82
97,Mega,ET,2021-06-01 23:07:41,4.05,38.3,60.24,72,100,17.13
98,Sotouboua,TG,2021-06-01 23:07:42,8.5667,0.9833,73.15,88,100,2.8
99,Yulara,AU,2021-06-01 23:07:43,-25.2406,130.9889,52.3,65,0,6.42
100,Quzhou,CN,2021-06-01 23:07:43,28.9594,118.8686,74.26,93,96,3.42
101,Nanortalik,GL,2021-06-01 23:07:44,60.1432,-45.2371,38.93,80,60,7.43
102,Atuona,PF,2021-06-01 23:02:45,-9.8,-139.0333,79.86,73,10,14.03
103,Bambous Virieux,MU,2021-06-01 23:07:44,-20.3428,57.7575,74.21,72,73,14.99
104,Airai,TL,2021-06-01 23:07:45,-8.9266,125.4092,61.36,85,31,2.48
105,Nortelandia,BR,2021-06-01 23:07:45,-14.4547,-56.8028,77.36,55,20,3.13
106,Benguela,AO,2021-06-01 23:07:46,-12.5763,13.4055,71.96,88,76,3.87
107,Ancud,CL,2021-06-01 23:07:46,-41.8697,-73.8203,46.22,75,95,6.73
108,Kidal,ML,2021-06-01 23:07:47,18.4411,1.4078,92.59,9,1,2.86
109,Yellowknife,CA,2021-06-01 23:07:23,62.456,-114.3525,55.33,100,92,1.99
110,Kizilskoye,RU,2021-06-01 23:07:47,52.7255,58.8937,55.29,71,51,3.89
111,Hofn,IS,2021-06-01 23:07:48,64.2539,-15.2082,45.46,84,9,23.71
112,Jamestown,US,2021-06-01 23:05:40,42.097,-79.2353,69.39,42,1,4.61
113,Codrington,AU,2021-06-01 23:07:48,-38.2667,141.9667,51.13,66,86,6.26
114,Tiksi,RU,2021-06-01 23:07:49,71.6872,128.8694,34.57,91,99,3.33
115,Rawson,AR,2021-06-01 23:07:49,-43.3002,-65.1023,45.21,67,3,23.53
116,Krasnoselkup,RU,2021-06-01 23:07:50,65.7,82.4667,41.45,74,63,16.37
117,Saint-Francois,FR,2021-06-01 23:07:51,46.4154,3.9054,63.18,83,0,3.44
118,East London,ZA,2021-06-01 23:07:51,-33.0153,27.9116,59.97,93,93,8.84
119,Puerto Ayora,EC,2021-06-01 23:07:52,-0.7393,-90.3518,74.55,86,97,5.99
120,Thompson,CA,2021-06-01 23:07:52,55.7435,-97.8558,70.11,27,17,4.47
121,Maniwaki,CA,2021-06-01 23:07:52,46.3834,-75.966,65.84,57,74,4.65
122,Pringsewu,ID,2021-06-01 23:07:53,-5.3582,104.9744,73.8,98,55,3.42
123,Kota Belud,MY,2021-06-01 23:07:53,6.351,116.4305,76.86,79,100,3.62
124,Hermanus,ZA,2021-06-01 23:07:54,-34.4187,19.2345,53.91,79,45,4.59
125,Puerto Escondido,MX,2021-06-01 23:07:54,15.85,-97.0667,86.86,65,50,6.62
126,Tuatapere,NZ,2021-06-01 23:07:55,-46.1333,167.6833,49.82,87,93,3.06
127,Kavieng,PG,2021-06-01 23:07:56,-2.5744,150.7967,79.39,86,100,9.19
128,Shelabolikha,RU,2021-06-01 23:07:56,53.4131,82.6167,67.46,72,20,3.36
129,Galveston,US,2021-06-01 23:07:56,29.3669,-94.9669,86.14,75,40,4.0
130,Nishihara,JP,2021-06-01 23:07:57,26.1842,127.7558,78.85,89,75,10.67
131,Marawi,PH,2021-06-01 23:07:57,7.9986,124.2928,65.64,91,100,5.5
132,Senador Pompeu,BR,2021-06-01 23:07:58,-5.5881,-39.3717,77.54,67,70,2.57
133,Asyut,EG,2021-06-01 23:07:58,27.181,31.1837,82.9,28,0,13.49
134,Torbay,CA,2021-06-01 23:05:29,47.6666,-52.7314,50.68,93,76,22.1
135,Wanaka,NZ,2021-06-01 23:07:59,-44.7,169.15,48.76,69,59,4.29
136,Adamas,GR,2021-06-01 23:08:00,36.7333,24.4333,62.02,71,0,21.56
137,Saint George,US,2021-06-01 23:03:45,37.1041,-113.5841,99.39,9,1,5.01
138,Piranshahr,IR,2021-06-01 23:07:14,36.701,45.1413,59.34,33,0,6.4
139,Sena Madureira,BR,2021-06-01 23:08:01,-9.0656,-68.6569,77.4,83,96,1.83
140,Pochutla,MX,2021-06-01 23:08:01,15.7432,-96.4661,87.94,57,80,8.25
141,Raudeberg,NO,2021-06-01 23:08:02,61.9875,5.1352,52.2,83,9,4.16
142,Jibuti,DJ,2021-06-01 23:08:02,11.5,42.5,81.82,72,5,8.43
143,Doha,QA,2021-06-01 23:08:03,25.2867,51.5333,96.78,19,0,4.61
144,Provideniya,RU,2021-06-01 23:08:03,64.3833,-173.3,41.11,60,0,15.66
145,Topolobampo,MX,2021-06-01 23:08:04,25.6,-109.05,93.11,35,40,13.8
146,Khatanga,RU,2021-06-01 23:08:04,71.9667,102.5,36.41,99,100,4.9
147,Mar Del Plata,AR,2021-06-01 23:08:04,-38.0023,-57.5575,59.02,50,0,3.0
148,Coihaique,CL,2021-06-01 23:06:51,-45.5752,-72.0662,41.61,81,75,6.91
