City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Leningradskiy,RU,69.3833,178.4167,30.81,79,72,6.93,broken clouds
207,Kikwit,CD,-5.041,18.8162,77.23,61,98,1.34,overcast clouds
208,Mar Del Plata,AR,-38.0023,-57.5575,56.12,58,0,7.0,moderate rain
209,Sistranda,NO,63.7256,8.834,58.89,80,8,7.25,clear sky
210,Hambantota,LK,6.1241,81.1185,79.25,86,99,14.99,overcast clouds
211,Lebu,CL,-37.6167,-73.65,56.57,96,100,5.03,overcast clouds
212,Biggar,GB,55.6167,-3.5167,56.98,94,72,5.28,broken clouds
213,Bayana,IN,26.9,77.2833,90.82,31,76,5.55,broken clouds
214,Nagtipunan,PH,16.2167,121.6,74.84,86,76,2.35,broken clouds
215,Upernavik,GL,72.7868,-56.1549,35.51,69,12,2.8,few clouds
216,Podor,MR,16.6527,-14.9587,86.99,33,52,18.43,broken clouds
217,Stuttgart,DE,48.7823,9.177,69.4,76,0,2.17,clear sky
218,Te Anau,NZ,-45.4167,167.7167,48.13,91,100,5.1,overcast clouds
219,Charleston,US,32.7766,-79.9309,80.02,87,90,3.0,heavy intensity rain
220,Sibay,RU,52.7181,58.6658,52.99,92,100,13.11,overcast clouds
221,Port Blair,IN,11.6667,92.75,82.87,76,100,4.25,overcast clouds
222,Nagar Karnul,IN,16.4821,78.3247,76.91,79,96,1.25,overcast clouds
223,Lagoa,PT,39.05,-27.9833,61.54,70,25,13.56,scattered clouds
224,Progreso,MX,21.2833,-89.6667,82.56,74,48,16.6,scattered clouds
225,Kamloops,CA,50.6665,-120.3192,83.82,39,75,1.01,broken clouds
226,Torbay,CA,47.6666,-52.7314,74.17,40,75,17.27,broken clouds
227,The Pas,CA,53.8251,-101.2541,71.62,60,40,10.09,scattered clouds
228,Meulaboh,ID,4.1363,96.1285,77.29,91,100,4.29,overcast clouds
229,Fortuna,US,40.5982,-124.1573,88.2,76,1,4.0,clear sky
230,Sakakah,SA,29.9697,40.2064,92.77,17,0,5.01,clear sky
231,Kandrian,PG,-6.2167,149.55,78.13,89,62,2.59,broken clouds
232,Awbari,LY,26.5921,12.7805,94.39,13,36,6.44,scattered clouds
233,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,20,17.27,few clouds
234,Rawson,AR,-43.3002,-65.1023,47.64,91,100,4.99,light rain
235,Mantua,IT,45.1667,10.7833,77.95,65,61,5.84,broken clouds
236,Hare Bay,CA,48.8499,-54.0148,78.15,40,46,0.76,scattered clouds
237,Tandil,AR,-37.3217,-59.1332,53.38,89,65,11.52,broken clouds
238,Alice Springs,AU,-23.7,133.8833,54.95,71,90,9.86,overcast clouds
239,Shiyan,CN,32.6475,110.7781,57.81,79,11,6.51,few clouds
