City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,Vaitape,PF,79.97,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
630,Sarkand,KZ,70.48,moderate rain,45.41,79.9186,Гостиница Сарканд
639,Vao,NC,71.71,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
642,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
646,Ha Giang,VN,74.35,moderate rain,22.8333,104.9833,Truong Xuan Ecolodge
653,El Cope,PA,78.85,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
658,Cove,BJ,79.0,few clouds,7.221,2.3402,TG Hôtel
667,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
671,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
684,Mindelo,CV,74.75,broken clouds,16.8901,-24.9804,Hotel Gaudi
687,Obama,JP,71.64,overcast clouds,35.4958,135.746,Sekumiya
689,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
690,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
